a : 353.0000, 0 -> 0
b : 812.0000, 0 -> 3
c : 205.0000, 0 -> 2
d : 842.0000, 0 -> 3
a : -118.0000, 1 -> 2
b : 707.0000, 1 -> 3
c : -846.0000, 1 -> 1
d : 939.0000, 1 -> 2
a : -390.0000, 2 -> 3
b : 677.0000, 2 -> 3
c : -423.0000, 2 -> 2
d : 705.0000, 2 -> 2
a : -331.0000, 3 -> 1
b : -243.0000, 3 -> 0
c : 29.0000, 3 -> 3
d : 449.0000, 3 -> 2
c : 776.0000, 0 -> 2
b : 180.0000, 0 -> 2
c : 968.0000, 1 -> 1
c : 96.0000, 1 -> 2
a : 212.0000, 2 -> 0
b : 710.0000, 2 -> 2
d : -807.0000, 3 -> 2
d : 464.0000, 3 -> 3
