a : -946.0000, 0 -> 7
b : -457.0000, 0 -> 7
c : 552.0000, 0 -> 3
d : -112.0000, 0 -> 5
a : 850.0000, 1 -> 2
b : 736.0000, 1 -> 5
c : -91.0000, 1 -> 0
d : -895.0000, 1 -> 1
a : -340.0000, 2 -> 4
b : -547.0000, 2 -> 6
c : -769.0000, 2 -> 4
d : -608.0000, 2 -> 3
a : 667.0000, 3 -> 4
b : -845.0000, 3 -> 1
c : 515.0000, 3 -> 1
d : 477.0000, 3 -> 0
a : 434.0000, 4 -> 6
b : -975.0000, 4 -> 7
c : 59.0000, 4 -> 2
d : -123.0000, 4 -> 0
a : 622.0000, 5 -> 3
b : -921.0000, 5 -> 6
c : -724.0000, 5 -> 2
d : -14.0000, 5 -> 6
a : 797.0000, 6 -> 6
b : 532.0000, 6 -> 6
c : -447.0000, 6 -> 0
d : 180.0000, 6 -> 3
a : -156.0000, 7 -> 1
b : -230.0000, 7 -> 5
c : 333.0000, 7 -> 6
d : -790.0000, 7 -> 6
a : 452.0000, 0 -> 3
c : -329.0000, 0 -> 1
a : -730.0000, 1 -> 5
c : -624.0000, 1 -> 1
a : -506.0000, 2 -> 1
a : 506.0000, 2 -> 7
b : 618.0000, 3 -> 3
a : 740.0000, 3 -> 0
c : -208.0000, 4 -> 7
c : -217.0000, 4 -> 6
a : 68.0000, 5 -> 0
b : -591.0000, 5 -> 3
b : 944.0000, 6 -> 0
c : -60.0000, 6 -> 3
b : 616.0000, 7 -> 3
c : -884.0000, 7 -> 1
