a : 299.0000, 0 -> 2
b : 213.0000, 0 -> 0
c : 711.0000, 0 -> 0
d : -285.0000, 0 -> 2
a : -872.0000, 1 -> 0
b : -255.0000, 1 -> 0
c : 289.0000, 1 -> 2
d : 668.0000, 1 -> 2
a : -176.0000, 2 -> 3
b : -732.0000, 2 -> 1
c : 272.0000, 2 -> 0
d : -238.0000, 2 -> 2
a : -319.0000, 3 -> 1
b : 544.0000, 3 -> 3
c : 242.0000, 3 -> 2
d : 925.0000, 3 -> 0
c : -1000.0000, 0 -> 0
d : -538.0000, 0 -> 0
a : -51.0000, 1 -> 2
c : -737.0000, 1 -> 0
c : -846.0000, 2 -> 3
c : 804.0000, 2 -> 1
a : -658.0000, 3 -> 1
a : -406.0000, 3 -> 1
