a : 146.0000, 0 -> 0
b : 29.0000, 0 -> 3
c : -910.0000, 0 -> 1
d : 701.0000, 0 -> 0
a : 404.0000, 1 -> 1
b : 347.0000, 1 -> 0
c : -9.0000, 1 -> 0
d : 545.0000, 1 -> 3
a : -246.0000, 2 -> 2
b : 30.0000, 2 -> 1
c : 649.0000, 2 -> 0
d : -303.0000, 2 -> 0
a : -561.0000, 3 -> 2
b : 825.0000, 3 -> 3
c : -845.0000, 3 -> 3
d : 879.0000, 3 -> 3
d : 640.0000, 0 -> 1
c : -96.0000, 0 -> 1
c : 331.0000, 1 -> 0
a : -501.0000, 1 -> 3
b : 892.0000, 2 -> 0
a : -850.0000, 2 -> 0
a : 345.0000, 3 -> 1
d : 893.0000, 3 -> 1
