a : 316.0000, 0 -> 0
b : 740.0000, 0 -> 1
c : 890.0000, 0 -> 1
d : 204.0000, 0 -> 2
a : -980.0000, 1 -> 1
b : 413.0000, 1 -> 0
c : 536.0000, 1 -> 1
d : -74.0000, 1 -> 1
a : -323.0000, 2 -> 3
b : 459.0000, 2 -> 1
c : 901.0000, 2 -> 2
d : -677.0000, 2 -> 0
a : -382.0000, 3 -> 2
b : 794.0000, 3 -> 3
c : 222.0000, 3 -> 2
d : 415.0000, 3 -> 2
a : -514.0000, 0 -> 0
a : -441.0000, 0 -> 2
c : -689.0000, 1 -> 1
d : 128.0000, 1 -> 0
d : -588.0000, 2 -> 2
b : -970.0000, 2 -> 3
d : 650.0000, 3 -> 2
b : -215.0000, 3 -> 2
