a : 325.0000, 0 -> 3
b : -962.0000, 0 -> 3
c : 21.0000, 0 -> 0
d : 38.0000, 0 -> 1
a : 519.0000, 1 -> 0
b : 771.0000, 1 -> 3
c : 180.0000, 1 -> 0
d : 313.0000, 1 -> 3
a : 640.0000, 2 -> 1
b : 826.0000, 2 -> 2
c : 362.0000, 2 -> 3
d : -115.0000, 2 -> 0
a : 971.0000, 3 -> 2
b : -515.0000, 3 -> 1
c : -472.0000, 3 -> 1
d : -688.0000, 3 -> 0
d : 313.0000, 0 -> 3
d : 725.0000, 0 -> 0
a : -139.0000, 1 -> 2
a : 93.0000, 1 -> 0
c : -899.0000, 2 -> 3
a : -629.0000, 2 -> 0
c : 740.0000, 3 -> 1
a : -312.0000, 3 -> 2
