a : 435.0000, 0 -> 5
b : 47.0000, 0 -> 2
a : 464.0000, 1 -> 1
b : -540.0000, 1 -> 3
a : 310.0000, 2 -> 4
b : -876.0000, 2 -> 2
a : 980.0000, 3 -> 3
b : 891.0000, 3 -> 6
a : 86.0000, 4 -> 0
b : 551.0000, 4 -> 3
a : 813.0000, 5 -> 7
b : -558.0000, 5 -> 5
a : 830.0000, 6 -> 7
b : 814.0000, 6 -> 5
a : 954.0000, 7 -> 6
b : 111.0000, 7 -> 7
b : -775.0000, 0 -> 5
a : 826.0000, 1 -> 7
a : 335.0000, 2 -> 6
a : -748.0000, 3 -> 7
b : 897.0000, 4 -> 5
b : -523.0000, 5 -> 2
b : -760.0000, 6 -> 7
b : -523.0000, 7 -> 2
a : 793.0000, 4 -> 1
