a : 935.0000, 0 -> 3
b : 496.0000, 0 -> 2
c : -926.0000, 0 -> 1
d : 356.0000, 0 -> 1
a : -834.0000, 1 -> 2
b : -294.0000, 1 -> 1
c : -575.0000, 1 -> 3
d : -810.0000, 1 -> 2
a : 257.0000, 2 -> 3
b : 276.0000, 2 -> 0
c : 279.0000, 2 -> 1
d : 240.0000, 2 -> 2
a : -656.0000, 3 -> 1
b : 662.0000, 3 -> 0
c : 290.0000, 3 -> 2
d : 329.0000, 3 -> 3
c : -193.0000, 0 -> 1
b : 976.0000, 0 -> 2
d : 9.0000, 1 -> 1
d : -152.0000, 1 -> 3
c : -54.0000, 2 -> 3
a : 350.0000, 2 -> 0
d : 950.0000, 3 -> 2
b : 868.0000, 3 -> 3
