a : -427.0000, 0 -> 0
b : 721.0000, 0 -> 6
c : 748.0000, 0 -> 2
d : -21.0000, 0 -> 5
a : -953.0000, 1 -> 3
b : 676.0000, 1 -> 0
c : -573.0000, 1 -> 3
d : -153.0000, 1 -> 0
a : -498.0000, 2 -> 1
b : -161.0000, 2 -> 0
c : -301.0000, 2 -> 5
d : 627.0000, 2 -> 4
a : 357.0000, 3 -> 5
b : 975.0000, 3 -> 0
c : -977.0000, 3 -> 2
d : 986.0000, 3 -> 3
a : -379.0000, 4 -> 7
b : 966.0000, 4 -> 3
c : -10.0000, 4 -> 5
d : 759.0000, 4 -> 6
a : -324.0000, 5 -> 5
b : 447.0000, 5 -> 0
c : 564.0000, 5 -> 1
d : 354.0000, 5 -> 1
a : -339.0000, 6 -> 7
b : 883.0000, 6 -> 3
c : 716.0000, 6 -> 5
d : -521.0000, 6 -> 3
a : -475.0000, 7 -> 3
b : -296.0000, 7 -> 0
c : -973.0000, 7 -> 3
d : 841.0000, 7 -> 5
d : 81.0000, 0 -> 7
a : 216.0000, 0 -> 5
a : -374.0000, 1 -> 4
a : -793.0000, 1 -> 5
c : -108.0000, 2 -> 7
d : 570.0000, 2 -> 6
d : 263.0000, 3 -> 1
d : 756.0000, 3 -> 0
b : 638.0000, 4 -> 3
a : -609.0000, 4 -> 0
a : -413.0000, 5 -> 2
c : -265.0000, 5 -> 5
b : 934.0000, 6 -> 1
a : -23.0000, 6 -> 6
a : 772.0000, 7 -> 7
b : 203.0000, 7 -> 3
