a : -701.0000, 0 -> 2
b : 912.0000, 0 -> 2
c : -356.0000, 0 -> 2
d : 617.0000, 0 -> 2
a : 71.0000, 1 -> 3
b : -23.0000, 1 -> 2
c : 313.0000, 1 -> 0
d : -34.0000, 1 -> 2
a : -796.0000, 2 -> 0
b : -776.0000, 2 -> 0
c : 936.0000, 2 -> 0
d : 386.0000, 2 -> 2
a : -714.0000, 3 -> 0
b : -317.0000, 3 -> 1
c : -681.0000, 3 -> 0
d : -435.0000, 3 -> 1
d : -880.0000, 0 -> 3
b : -899.0000, 0 -> 2
d : 946.0000, 1 -> 3
b : -663.0000, 1 -> 2
b : 185.0000, 2 -> 0
a : 844.0000, 2 -> 3
b : -579.0000, 3 -> 1
b : 799.0000, 3 -> 2
