a : 498.0000, 0 -> 5
b : 686.0000, 0 -> 6
a : 72.0000, 1 -> 6
b : 112.0000, 1 -> 1
a : -103.0000, 2 -> 3
b : -514.0000, 2 -> 4
a : 851.0000, 3 -> 0
b : -664.0000, 3 -> 1
a : -177.0000, 4 -> 4
b : 49.0000, 4 -> 3
a : 994.0000, 5 -> 6
b : -973.0000, 5 -> 1
a : 602.0000, 6 -> 2
b : -722.0000, 6 -> 2
a : -397.0000, 7 -> 7
b : -432.0000, 7 -> 6
b : -432.0000, 0 -> 5
b : -123.0000, 1 -> 6
b : 134.0000, 2 -> 3
a : 236.0000, 3 -> 0
b : 204.0000, 4 -> 3
b : 201.0000, 5 -> 0
b : -395.0000, 6 -> 2
a : -23.0000, 7 -> 1
a : 875.0000, 4 -> 7
