a : 91.0000, 0 -> 6
b : 360.0000, 0 -> 0
a : -118.0000, 1 -> 6
b : 384.0000, 1 -> 1
a : 613.0000, 2 -> 5
b : 550.0000, 2 -> 5
a : -673.0000, 3 -> 3
b : -700.0000, 3 -> 5
a : 599.0000, 4 -> 0
b : 126.0000, 4 -> 0
a : 869.0000, 5 -> 5
b : -387.0000, 5 -> 6
a : 299.0000, 6 -> 7
b : 727.0000, 6 -> 5
a : -762.0000, 7 -> 5
b : -212.0000, 7 -> 6
a : 158.0000, 0 -> 7
b : -200.0000, 1 -> 2
a : -994.0000, 2 -> 6
b : -586.0000, 3 -> 4
a : -598.0000, 4 -> 4
b : 26.0000, 5 -> 7
b : 133.0000, 6 -> 1
a : 504.0000, 7 -> 4
a : -249.0000, 1 -> 3
