a : -889.0000, 0 -> 1
b : 861.0000, 0 -> 2
c : 38.0000, 0 -> 1
d : -627.0000, 0 -> 2
a : 821.0000, 1 -> 1
b : -23.0000, 1 -> 1
c : 43.0000, 1 -> 2
d : 775.0000, 1 -> 1
a : 998.0000, 2 -> 3
b : 500.0000, 2 -> 2
c : 851.0000, 2 -> 1
d : 607.0000, 2 -> 3
a : -821.0000, 3 -> 0
b : -897.0000, 3 -> 0
c : -82.0000, 3 -> 2
d : 40.0000, 3 -> 3
d : 341.0000, 0 -> 3
d : -292.0000, 0 -> 0
c : -738.0000, 1 -> 0
a : -733.0000, 1 -> 1
b : 746.0000, 2 -> 1
d : 993.0000, 2 -> 3
c : 953.0000, 3 -> 0
d : 666.0000, 3 -> 3
