a : 425.0000, 0 -> 0
b : 912.0000, 0 -> 0
c : -932.0000, 0 -> 1
d : -710.0000, 0 -> 1
a : -494.0000, 1 -> 0
b : -280.0000, 1 -> 0
c : -497.0000, 1 -> 2
d : 571.0000, 1 -> 3
a : -706.0000, 2 -> 3
b : -773.0000, 2 -> 2
c : 919.0000, 2 -> 0
d : -767.0000, 2 -> 3
a : -361.0000, 3 -> 3
b : 212.0000, 3 -> 0
c : -34.0000, 3 -> 2
d : 787.0000, 3 -> 3
c : 705.0000, 0 -> 3
d : -385.0000, 0 -> 1
b : 767.0000, 1 -> 1
c : 374.0000, 1 -> 3
a : 288.0000, 2 -> 1
a : -178.0000, 2 -> 2
b : -954.0000, 3 -> 3
d : -512.0000, 3 -> 1
