a : -1.0000, 0 -> 2
b : 722.0000, 0 -> 1
c : -786.0000, 0 -> 2
d : -750.0000, 0 -> 2
a : 819.0000, 1 -> 0
b : -196.0000, 1 -> 3
c : -942.0000, 1 -> 2
d : -809.0000, 1 -> 3
a : -234.0000, 2 -> 3
b : -262.0000, 2 -> 0
c : -463.0000, 2 -> 1
d : 140.0000, 2 -> 3
a : -269.0000, 3 -> 3
b : -82.0000, 3 -> 2
c : 949.0000, 3 -> 3
d : -282.0000, 3 -> 2
c : -602.0000, 0 -> 3
d : 448.0000, 0 -> 3
d : 738.0000, 1 -> 3
a : -165.0000, 1 -> 1
b : -594.0000, 2 -> 3
c : 284.0000, 2 -> 1
a : 412.0000, 3 -> 0
c : -812.0000, 3 -> 3
