a : 259.0000, 0 -> 1
b : -499.0000, 0 -> 3
c : -643.0000, 0 -> 2
d : -306.0000, 0 -> 3
a : -603.0000, 1 -> 1
b : -433.0000, 1 -> 3
c : -386.0000, 1 -> 3
d : 358.0000, 1 -> 1
a : 376.0000, 2 -> 2
b : 559.0000, 2 -> 2
c : 60.0000, 2 -> 1
d : -856.0000, 2 -> 1
a : -282.0000, 3 -> 1
b : 75.0000, 3 -> 2
c : -311.0000, 3 -> 2
d : -402.0000, 3 -> 3
d : -345.0000, 0 -> 2
b : -980.0000, 0 -> 2
d : -466.0000, 1 -> 2
c : 509.0000, 1 -> 1
b : -852.0000, 2 -> 3
d : -373.0000, 2 -> 3
b : 213.0000, 3 -> 3
b : -188.0000, 3 -> 1
