a : 217.0000, 0 -> 1
b : 720.0000, 0 -> 2
c : -30.0000, 0 -> 3
d : -471.0000, 0 -> 2
a : 807.0000, 1 -> 3
b : 263.0000, 1 -> 2
c : 19.0000, 1 -> 2
d : -844.0000, 1 -> 0
a : -908.0000, 2 -> 3
b : -498.0000, 2 -> 1
c : -327.0000, 2 -> 0
d : 772.0000, 2 -> 1
a : -694.0000, 3 -> 0
b : -896.0000, 3 -> 0
c : 562.0000, 3 -> 1
d : -579.0000, 3 -> 0
a : 828.0000, 0 -> 2
c : 123.0000, 0 -> 3
a : 31.0000, 1 -> 3
a : -404.0000, 1 -> 2
a : -800.0000, 2 -> 2
c : 279.0000, 2 -> 0
c : -154.0000, 3 -> 0
b : 419.0000, 3 -> 1
