a : -464.0000, 0 -> 4
b : 684.0000, 0 -> 1
c : -374.0000, 0 -> 7
d : -109.0000, 0 -> 4
a : 770.0000, 1 -> 2
b : 163.0000, 1 -> 5
c : -86.0000, 1 -> 5
d : -244.0000, 1 -> 6
a : -264.0000, 2 -> 6
b : 268.0000, 2 -> 0
c : 649.0000, 2 -> 4
d : -239.0000, 2 -> 2
a : 536.0000, 3 -> 5
b : -959.0000, 3 -> 4
c : -690.0000, 3 -> 5
d : -725.0000, 3 -> 2
a : 982.0000, 4 -> 1
b : -702.0000, 4 -> 6
c : 571.0000, 4 -> 4
d : 535.0000, 4 -> 0
a : 715.0000, 5 -> 1
b : 900.0000, 5 -> 5
c : 589.0000, 5 -> 7
d : -382.0000, 5 -> 6
a : -805.0000, 6 -> 4
b : 924.0000, 6 -> 1
c : -335.0000, 6 -> 3
d : 451.0000, 6 -> 1
a : 33.0000, 7 -> 5
b : 129.0000, 7 -> 7
c : 521.0000, 7 -> 5
d : -369.0000, 7 -> 7
b : -920.0000, 0 -> 6
b : -229.0000, 0 -> 6
c : 245.0000, 1 -> 4
c : 122.0000, 1 -> 3
b : 223.0000, 2 -> 6
a : 760.0000, 2 -> 5
c : 273.0000, 3 -> 5
c : 267.0000, 3 -> 3
d : 953.0000, 4 -> 7
d : 938.0000, 4 -> 7
b : 303.0000, 5 -> 1
d : -945.0000, 5 -> 5
b : -498.0000, 6 -> 4
a : -816.0000, 6 -> 1
b : 411.0000, 7 -> 6
a : 543.0000, 7 -> 3
