a : 486.0000, 0 -> 1
b : 119.0000, 0 -> 2
a : 660.0000, 1 -> 6
b : 464.0000, 1 -> 6
a : -185.0000, 2 -> 0
b : -885.0000, 2 -> 4
a : 723.0000, 3 -> 4
b : 490.0000, 3 -> 1
a : 709.0000, 4 -> 6
b : -555.0000, 4 -> 7
a : 770.0000, 5 -> 6
b : -453.0000, 5 -> 0
a : 616.0000, 6 -> 3
b : 533.0000, 6 -> 4
a : -904.0000, 7 -> 3
b : 222.0000, 7 -> 3
b : -214.0000, 0 -> 3
b : -768.0000, 1 -> 4
a : 695.0000, 2 -> 6
b : -840.0000, 3 -> 1
a : 879.0000, 4 -> 1
a : 681.0000, 5 -> 2
b : -382.0000, 6 -> 3
b : 517.0000, 7 -> 3
b : -461.0000, 3 -> 5
