a : -470.0000, 0 -> 0
b : 31.0000, 0 -> 2
c : 264.0000, 0 -> 6
d : 815.0000, 0 -> 2
a : 1.0000, 1 -> 3
b : -393.0000, 1 -> 3
c : 593.0000, 1 -> 5
d : 127.0000, 1 -> 1
a : 644.0000, 2 -> 7
b : -487.0000, 2 -> 5
c : -541.0000, 2 -> 4
d : -967.0000, 2 -> 5
a : 470.0000, 3 -> 7
b : 472.0000, 3 -> 5
c : 904.0000, 3 -> 4
d : 422.0000, 3 -> 4
a : -965.0000, 4 -> 2
b : 329.0000, 4 -> 1
c : 943.0000, 4 -> 1
d : 882.0000, 4 -> 7
a : -822.0000, 5 -> 7
b : -680.0000, 5 -> 5
c : -674.0000, 5 -> 1
d : 46.0000, 5 -> 2
a : 128.0000, 6 -> 3
b : 716.0000, 6 -> 2
c : 334.0000, 6 -> 6
d : -447.0000, 6 -> 7
a : -624.0000, 7 -> 7
b : 431.0000, 7 -> 6
c : 971.0000, 7 -> 7
d : 493.0000, 7 -> 2
c : -971.0000, 0 -> 3
c : -769.0000, 0 -> 4
c : -463.0000, 1 -> 1
d : 473.0000, 1 -> 4
c : 36.0000, 2 -> 2
c : -438.0000, 2 -> 7
a : 92.0000, 3 -> 0
c : -41.0000, 3 -> 7
c : -637.0000, 4 -> 5
c : 52.0000, 4 -> 0
d : -136.0000, 5 -> 4
a : 380.0000, 5 -> 1
a : 258.0000, 6 -> 1
d : 324.0000, 6 -> 1
d : 424.0000, 7 -> 5
d : -222.0000, 7 -> 4
