a : 811.0000, 0 -> 3
b : 925.0000, 0 -> 1
c : -56.0000, 0 -> 1
d : -12.0000, 0 -> 0
a : 609.0000, 1 -> 2
b : -724.0000, 1 -> 1
c : 86.0000, 1 -> 1
d : -955.0000, 1 -> 3
a : 242.0000, 2 -> 3
b : 517.0000, 2 -> 0
c : 605.0000, 2 -> 0
d : -681.0000, 2 -> 3
a : -401.0000, 3 -> 3
b : -343.0000, 3 -> 0
c : -858.0000, 3 -> 0
d : 217.0000, 3 -> 3
c : -20.0000, 0 -> 1
b : -18.0000, 0 -> 0
c : 447.0000, 1 -> 2
d : 325.0000, 1 -> 1
c : -209.0000, 2 -> 2
c : -3.0000, 2 -> 3
a : 245.0000, 3 -> 1
c : -954.0000, 3 -> 3
