a : 485.0000, 0 -> 1
b : 583.0000, 0 -> 7
a : 540.0000, 1 -> 4
b : 915.0000, 1 -> 3
a : 437.0000, 2 -> 0
b : -230.0000, 2 -> 6
a : -808.0000, 3 -> 5
b : 744.0000, 3 -> 6
a : 752.0000, 4 -> 5
b : 627.0000, 4 -> 2
a : 667.0000, 5 -> 6
b : -19.0000, 5 -> 0
a : -681.0000, 6 -> 3
b : -65.0000, 6 -> 6
a : -89.0000, 7 -> 7
b : 728.0000, 7 -> 0
b : 886.0000, 0 -> 2
a : 52.0000, 1 -> 6
a : -902.0000, 2 -> 1
b : -508.0000, 3 -> 1
a : -260.0000, 4 -> 7
a : 533.0000, 5 -> 3
b : -935.0000, 6 -> 5
b : -568.0000, 7 -> 2
