a : 483.0000, 0 -> 3
b : -511.0000, 0 -> 0
c : -877.0000, 0 -> 2
d : 683.0000, 0 -> 4
a : 597.0000, 1 -> 1
b : -997.0000, 1 -> 3
c : -82.0000, 1 -> 6
d : 672.0000, 1 -> 5
a : 849.0000, 2 -> 7
b : -594.0000, 2 -> 2
c : 460.0000, 2 -> 5
d : -207.0000, 2 -> 5
a : -404.0000, 3 -> 0
b : 789.0000, 3 -> 2
c : -994.0000, 3 -> 6
d : 202.0000, 3 -> 2
a : -603.0000, 4 -> 0
b : 671.0000, 4 -> 7
c : -404.0000, 4 -> 2
d : 609.0000, 4 -> 3
a : -833.0000, 5 -> 4
b : -453.0000, 5 -> 7
c : 544.0000, 5 -> 6
d : -921.0000, 5 -> 3
a : 228.0000, 6 -> 3
b : -407.0000, 6 -> 6
c : -394.0000, 6 -> 1
d : 29.0000, 6 -> 4
a : 46.0000, 7 -> 3
b : 216.0000, 7 -> 2
c : 64.0000, 7 -> 6
d : 882.0000, 7 -> 4
a : -259.0000, 0 -> 0
a : -318.0000, 0 -> 4
b : -702.0000, 1 -> 4
b : 64.0000, 1 -> 7
a : -470.0000, 2 -> 5
d : 729.0000, 2 -> 2
d : -5.0000, 3 -> 7
a : 707.0000, 3 -> 6
c : -844.0000, 4 -> 2
c : 930.0000, 4 -> 7
c : 827.0000, 5 -> 4
d : 388.0000, 5 -> 2
a : 271.0000, 6 -> 5
b : 180.0000, 6 -> 6
d : 468.0000, 7 -> 4
b : -612.0000, 7 -> 4
