a : -935.0000, 0 -> 4
b : -718.0000, 0 -> 6
c : -258.0000, 0 -> 5
d : 990.0000, 0 -> 3
a : 562.0000, 1 -> 1
b : -327.0000, 1 -> 5
c : 461.0000, 1 -> 1
d : -808.0000, 1 -> 5
a : 488.0000, 2 -> 0
b : 902.0000, 2 -> 0
c : -376.0000, 2 -> 7
d : 713.0000, 2 -> 4
a : -261.0000, 3 -> 4
b : 227.0000, 3 -> 4
c : -535.0000, 3 -> 0
d : -953.0000, 3 -> 0
a : -79.0000, 4 -> 1
b : -610.0000, 4 -> 7
c : 49.0000, 4 -> 2
d : -387.0000, 4 -> 5
a : -722.0000, 5 -> 1
b : 704.0000, 5 -> 7
c : -615.0000, 5 -> 5
d : -916.0000, 5 -> 2
a : 496.0000, 6 -> 7
b : -284.0000, 6 -> 0
c : 631.0000, 6 -> 7
d : -600.0000, 6 -> 5
a : -632.0000, 7 -> 5
b : -927.0000, 7 -> 0
c : -610.0000, 7 -> 0
d : 687.0000, 7 -> 5
b : -462.0000, 0 -> 7
a : -17.0000, 0 -> 6
d : 82.0000, 1 -> 6
a : 870.0000, 1 -> 2
a : 242.0000, 2 -> 6
d : -851.0000, 2 -> 4
d : 193.0000, 3 -> 3
b : -256.0000, 3 -> 1
b : -683.0000, 4 -> 6
c : -484.0000, 4 -> 6
d : -598.0000, 5 -> 2
c : -618.0000, 5 -> 4
b : 539.0000, 6 -> 2
a : 856.0000, 6 -> 7
c : -181.0000, 7 -> 0
d : 474.0000, 7 -> 6
