a : 385.0000, 0 -> 2
b : -79.0000, 0 -> 1
a : 249.0000, 1 -> 2
b : -943.0000, 1 -> 7
a : -334.0000, 2 -> 2
b : 418.0000, 2 -> 3
a : 430.0000, 3 -> 7
b : -197.0000, 3 -> 7
a : 710.0000, 4 -> 5
b : -853.0000, 4 -> 7
a : -386.0000, 5 -> 6
b : 639.0000, 5 -> 5
a : -408.0000, 6 -> 4
b : 922.0000, 6 -> 2
a : 563.0000, 7 -> 1
b : -815.0000, 7 -> 4
a : 77.0000, 0 -> 0
b : -434.0000, 1 -> 0
b : 912.0000, 2 -> 6
b : -283.0000, 3 -> 0
b : -492.0000, 4 -> 1
a : -937.0000, 5 -> 2
b : -780.0000, 6 -> 0
b : -90.0000, 7 -> 2
