a : 77.0000, 0 -> 4
b : -767.0000, 0 -> 1
c : -946.0000, 0 -> 2
d : 703.0000, 0 -> 6
a : -37.0000, 1 -> 1
b : 849.0000, 1 -> 1
c : -268.0000, 1 -> 1
d : -735.0000, 1 -> 6
a : 116.0000, 2 -> 2
b : 756.0000, 2 -> 7
c : 82.0000, 2 -> 5
d : 730.0000, 2 -> 4
a : -672.0000, 3 -> 6
b : -242.0000, 3 -> 0
c : 426.0000, 3 -> 5
d : 835.0000, 3 -> 4
a : 9.0000, 4 -> 5
b : -714.0000, 4 -> 3
c : -493.0000, 4 -> 7
d : -342.0000, 4 -> 5
a : -801.0000, 5 -> 0
b : 269.0000, 5 -> 4
c : -954.0000, 5 -> 5
d : -914.0000, 5 -> 4
a : 841.0000, 6 -> 7
b : -733.0000, 6 -> 7
c : -616.0000, 6 -> 0
d : 259.0000, 6 -> 0
a : 962.0000, 7 -> 3
b : -556.0000, 7 -> 4
c : -410.0000, 7 -> 7
d : 946.0000, 7 -> 7
d : -56.0000, 0 -> 5
b : 836.0000, 0 -> 3
c : -458.0000, 1 -> 6
c : 156.0000, 1 -> 4
c : 269.0000, 2 -> 5
d : 802.0000, 2 -> 2
a : 51.0000, 3 -> 4
a : -634.0000, 3 -> 2
d : -325.0000, 4 -> 1
b : 877.0000, 4 -> 5
d : 853.0000, 5 -> 2
d : -734.0000, 5 -> 4
c : -590.0000, 6 -> 1
b : 534.0000, 6 -> 7
a : -529.0000, 7 -> 5
a : -858.0000, 7 -> 4
