a : -371.0000, 0 -> 0
b : 449.0000, 0 -> 6
a : 118.0000, 1 -> 6
b : 992.0000, 1 -> 1
a : 105.0000, 2 -> 6
b : 374.0000, 2 -> 3
a : 238.0000, 3 -> 4
b : -110.0000, 3 -> 3
a : 266.0000, 4 -> 4
b : -574.0000, 4 -> 1
a : 726.0000, 5 -> 1
b : -661.0000, 5 -> 6
a : -15.0000, 6 -> 2
b : 789.0000, 6 -> 6
a : 660.0000, 7 -> 0
b : 25.0000, 7 -> 6
b : -280.0000, 0 -> 5
a : -242.0000, 1 -> 6
b : -165.0000, 2 -> 1
a : 643.0000, 3 -> 2
b : -112.0000, 4 -> 5
b : -564.0000, 5 -> 5
a : -258.0000, 6 -> 4
a : -119.0000, 7 -> 4
b : -183.0000, 0 -> 7
