a : -710.0000, 0 -> 2
b : 194.0000, 0 -> 2
a : -872.0000, 1 -> 7
b : 349.0000, 1 -> 6
a : 332.0000, 2 -> 5
b : -26.0000, 2 -> 5
a : 336.0000, 3 -> 7
b : -835.0000, 3 -> 0
a : -306.0000, 4 -> 1
b : -50.0000, 4 -> 2
a : -547.0000, 5 -> 3
b : 828.0000, 5 -> 1
a : -475.0000, 6 -> 3
b : 212.0000, 6 -> 7
a : 217.0000, 7 -> 2
b : 320.0000, 7 -> 7
b : 971.0000, 0 -> 0
a : 599.0000, 1 -> 0
a : -724.0000, 2 -> 2
a : -43.0000, 3 -> 7
b : 120.0000, 4 -> 4
a : 929.0000, 5 -> 4
b : -20.0000, 6 -> 4
a : -855.0000, 7 -> 6
