a : 448.0000, 0 -> 2
b : -13.0000, 0 -> 2
a : -48.0000, 1 -> 5
b : -202.0000, 1 -> 1
a : 418.0000, 2 -> 4
b : -80.0000, 2 -> 7
a : 144.0000, 3 -> 4
b : -4.0000, 3 -> 0
a : 258.0000, 4 -> 0
b : 991.0000, 4 -> 6
a : -212.0000, 5 -> 3
b : 958.0000, 5 -> 0
a : 672.0000, 6 -> 3
b : 472.0000, 6 -> 3
a : 544.0000, 7 -> 4
b : -885.0000, 7 -> 0
a : -3.0000, 0 -> 0
a : 127.0000, 1 -> 4
a : -660.0000, 2 -> 4
b : -148.0000, 3 -> 0
b : 807.0000, 4 -> 6
b : -819.0000, 5 -> 7
b : 497.0000, 6 -> 4
b : 230.0000, 7 -> 7
a : -711.0000, 6 -> 1
