a : -103.0000, 0 -> 7
b : -417.0000, 0 -> 7
a : -498.0000, 1 -> 3
b : -338.0000, 1 -> 0
a : -423.0000, 2 -> 5
b : 913.0000, 2 -> 4
a : -102.0000, 3 -> 6
b : 588.0000, 3 -> 5
a : -788.0000, 4 -> 1
b : 183.0000, 4 -> 2
a : -785.0000, 5 -> 6
b : -214.0000, 5 -> 7
a : -863.0000, 6 -> 1
b : 688.0000, 6 -> 1
a : 936.0000, 7 -> 7
b : 335.0000, 7 -> 4
a : -959.0000, 0 -> 1
a : -998.0000, 1 -> 7
b : 725.0000, 2 -> 3
b : 209.0000, 3 -> 3
a : 834.0000, 4 -> 0
b : 116.0000, 5 -> 3
a : 4.0000, 6 -> 1
b : 825.0000, 7 -> 1
