a : 500.0000, 0 -> 3
b : 603.0000, 0 -> 2
c : 206.0000, 0 -> 0
d : 760.0000, 0 -> 3
a : -433.0000, 1 -> 2
b : 618.0000, 1 -> 1
c : -119.0000, 1 -> 3
d : 181.0000, 1 -> 1
a : -188.0000, 2 -> 1
b : -984.0000, 2 -> 2
c : 579.0000, 2 -> 2
d : 189.0000, 2 -> 0
a : -525.0000, 3 -> 0
b : 759.0000, 3 -> 2
c : -807.0000, 3 -> 2
d : -22.0000, 3 -> 2
d : -1.0000, 0 -> 0
a : 85.0000, 0 -> 3
b : -189.0000, 1 -> 3
b : -64.0000, 1 -> 2
b : -356.0000, 2 -> 2
b : -422.0000, 2 -> 2
a : 334.0000, 3 -> 2
b : 423.0000, 3 -> 0
