a : -569.0000, 0 -> 3
b : 737.0000, 0 -> 1
c : 849.0000, 0 -> 4
d : -246.0000, 0 -> 7
a : -638.0000, 1 -> 7
b : -69.0000, 1 -> 0
c : -408.0000, 1 -> 7
d : 846.0000, 1 -> 7
a : -304.0000, 2 -> 3
b : 370.0000, 2 -> 2
c : -182.0000, 2 -> 2
d : -812.0000, 2 -> 0
a : -60.0000, 3 -> 3
b : 165.0000, 3 -> 3
c : 257.0000, 3 -> 0
d : -363.0000, 3 -> 7
a : 848.0000, 4 -> 7
b : -907.0000, 4 -> 4
c : -15.0000, 4 -> 6
d : -682.0000, 4 -> 2
a : -933.0000, 5 -> 2
b : -605.0000, 5 -> 4
c : -50.0000, 5 -> 1
d : 870.0000, 5 -> 5
a : 154.0000, 6 -> 5
b : -100.0000, 6 -> 6
c : -926.0000, 6 -> 1
d : -200.0000, 6 -> 2
a : -872.0000, 7 -> 4
b : -766.0000, 7 -> 1
c : 508.0000, 7 -> 0
d : -66.0000, 7 -> 6
a : 544.0000, 0 -> 3
d : -219.0000, 0 -> 3
d : -259.0000, 1 -> 6
a : -342.0000, 1 -> 2
b : -816.0000, 2 -> 2
d : 128.0000, 2 -> 1
c : 951.0000, 3 -> 0
d : -478.0000, 3 -> 5
a : -107.0000, 4 -> 5
a : 136.0000, 4 -> 1
d : -512.0000, 5 -> 5
c : -373.0000, 5 -> 6
c : 504.0000, 6 -> 3
d : -95.0000, 6 -> 6
d : 993.0000, 7 -> 0
a : -854.0000, 7 -> 4
