a : -455.0000, 0 -> 5
b : 272.0000, 0 -> 6
c : 532.0000, 0 -> 0
d : -749.0000, 0 -> 7
a : 653.0000, 1 -> 1
b : 322.0000, 1 -> 1
c : 448.0000, 1 -> 4
d : -450.0000, 1 -> 2
a : -23.0000, 2 -> 2
b : 799.0000, 2 -> 2
c : 904.0000, 2 -> 3
d : 80.0000, 2 -> 1
a : 458.0000, 3 -> 4
b : 310.0000, 3 -> 3
c : -544.0000, 3 -> 0
d : 670.0000, 3 -> 4
a : 590.0000, 4 -> 4
b : -381.0000, 4 -> 1
c : 908.0000, 4 -> 6
d : 248.0000, 4 -> 5
a : -576.0000, 5 -> 4
b : 417.0000, 5 -> 1
c : 263.0000, 5 -> 0
d : 962.0000, 5 -> 7
a : 156.0000, 6 -> 6
b : 507.0000, 6 -> 7
c : -939.0000, 6 -> 1
d : -277.0000, 6 -> 3
a : 232.0000, 7 -> 0
b : 659.0000, 7 -> 3
c : -330.0000, 7 -> 2
d : -249.0000, 7 -> 3
b : 218.0000, 0 -> 0
a : 995.0000, 0 -> 6
c : -294.0000, 1 -> 7
a : -277.0000, 1 -> 4
c : 919.0000, 2 -> 7
b : 395.0000, 2 -> 2
d : 88.0000, 3 -> 0
b : -765.0000, 3 -> 1
a : -915.0000, 4 -> 7
b : -64.0000, 4 -> 2
b : -125.0000, 5 -> 4
c : -417.0000, 5 -> 5
a : 832.0000, 6 -> 7
d : 77.0000, 6 -> 5
a : 806.0000, 7 -> 6
b : 534.0000, 7 -> 3
