a : -253.0000, 0 -> 7
b : -612.0000, 0 -> 4
c : -192.0000, 0 -> 5
d : 814.0000, 0 -> 7
a : 836.0000, 1 -> 3
b : 563.0000, 1 -> 7
c : 489.0000, 1 -> 0
d : 263.0000, 1 -> 6
a : 395.0000, 2 -> 4
b : -263.0000, 2 -> 4
c : 447.0000, 2 -> 2
d : -76.0000, 2 -> 6
a : 424.0000, 3 -> 7
b : -482.0000, 3 -> 0
c : -351.0000, 3 -> 5
d : 652.0000, 3 -> 3
a : -938.0000, 4 -> 3
b : -345.0000, 4 -> 7
c : -403.0000, 4 -> 1
d : -666.0000, 4 -> 5
a : 508.0000, 5 -> 1
b : -421.0000, 5 -> 2
c : 294.0000, 5 -> 0
d : -110.0000, 5 -> 5
a : -378.0000, 6 -> 7
b : 941.0000, 6 -> 2
c : 208.0000, 6 -> 2
d : -804.0000, 6 -> 3
a : 928.0000, 7 -> 0
b : 874.0000, 7 -> 2
c : -351.0000, 7 -> 3
d : 27.0000, 7 -> 7
d : -913.0000, 0 -> 4
a : 653.0000, 0 -> 4
a : -433.0000, 1 -> 7
a : 982.0000, 1 -> 6
b : -981.0000, 2 -> 0
d : -584.0000, 2 -> 6
d : 175.0000, 3 -> 4
a : -259.0000, 3 -> 7
b : -768.0000, 4 -> 0
c : 890.0000, 4 -> 1
c : -649.0000, 5 -> 6
b : -510.0000, 5 -> 5
c : -822.0000, 6 -> 7
d : -638.0000, 6 -> 4
a : 134.0000, 7 -> 4
c : -259.0000, 7 -> 1
