a : -44.0000, 0 -> 1
b : 56.0000, 0 -> 1
c : 866.0000, 0 -> 0
d : -850.0000, 0 -> 1
a : -708.0000, 1 -> 1
b : -773.0000, 1 -> 1
c : 975.0000, 1 -> 1
d : 340.0000, 1 -> 3
a : -110.0000, 2 -> 3
b : -709.0000, 2 -> 0
c : -702.0000, 2 -> 2
d : 65.0000, 2 -> 2
a : 504.0000, 3 -> 1
b : 482.0000, 3 -> 2
c : -451.0000, 3 -> 1
d : 227.0000, 3 -> 3
c : 85.0000, 0 -> 2
a : -256.0000, 0 -> 2
d : -568.0000, 1 -> 0
d : -483.0000, 1 -> 3
b : -333.0000, 2 -> 2
c : 351.0000, 2 -> 1
a : 681.0000, 3 -> 2
a : -120.0000, 3 -> 1
