a : -150.0000, 0 -> 7
b : 865.0000, 0 -> 0
c : 304.0000, 0 -> 6
d : -809.0000, 0 -> 4
a : 618.0000, 1 -> 2
b : -208.0000, 1 -> 7
c : 70.0000, 1 -> 3
d : -281.0000, 1 -> 5
a : 531.0000, 2 -> 6
b : -679.0000, 2 -> 6
c : -732.0000, 2 -> 5
d : -731.0000, 2 -> 4
a : -594.0000, 3 -> 2
b : 260.0000, 3 -> 0
c : 270.0000, 3 -> 4
d : 674.0000, 3 -> 6
a : 887.0000, 4 -> 3
b : 55.0000, 4 -> 4
c : 107.0000, 4 -> 3
d : -937.0000, 4 -> 6
a : 776.0000, 5 -> 2
b : -208.0000, 5 -> 5
c : 698.0000, 5 -> 5
d : 376.0000, 5 -> 2
a : 444.0000, 6 -> 0
b : 126.0000, 6 -> 2
c : -972.0000, 6 -> 6
d : 612.0000, 6 -> 0
a : -513.0000, 7 -> 1
b : -520.0000, 7 -> 4
c : 120.0000, 7 -> 3
d : 78.0000, 7 -> 0
c : -254.0000, 0 -> 3
c : -682.0000, 0 -> 5
a : -855.0000, 1 -> 2
c : -10.0000, 1 -> 3
d : 286.0000, 2 -> 3
b : -127.0000, 2 -> 6
a : 209.0000, 3 -> 0
c : 907.0000, 3 -> 1
a : -754.0000, 4 -> 2
c : -880.0000, 4 -> 5
c : -192.0000, 5 -> 4
d : 875.0000, 5 -> 7
b : -564.0000, 6 -> 5
a : -5.0000, 6 -> 0
a : -813.0000, 7 -> 3
c : -683.0000, 7 -> 1
