a : 775.0000, 0 -> 6
b : -556.0000, 0 -> 3
c : -450.0000, 0 -> 0
d : 865.0000, 0 -> 0
a : 649.0000, 1 -> 7
b : -469.0000, 1 -> 1
c : -239.0000, 1 -> 3
d : 746.0000, 1 -> 5
a : 615.0000, 2 -> 1
b : -458.0000, 2 -> 6
c : -727.0000, 2 -> 5
d : -955.0000, 2 -> 5
a : 698.0000, 3 -> 1
b : 233.0000, 3 -> 3
c : -184.0000, 3 -> 5
d : -57.0000, 3 -> 3
a : 366.0000, 4 -> 0
b : 512.0000, 4 -> 4
c : 498.0000, 4 -> 5
d : -54.0000, 4 -> 6
a : 817.0000, 5 -> 5
b : -368.0000, 5 -> 3
c : -385.0000, 5 -> 2
d : -51.0000, 5 -> 2
a : 854.0000, 6 -> 4
b : 220.0000, 6 -> 2
c : -293.0000, 6 -> 1
d : -592.0000, 6 -> 2
a : 58.0000, 7 -> 1
b : 814.0000, 7 -> 7
c : -452.0000, 7 -> 4
d : 921.0000, 7 -> 1
d : -518.0000, 0 -> 3
d : -253.0000, 0 -> 4
a : -908.0000, 1 -> 2
b : 622.0000, 1 -> 2
a : 467.0000, 2 -> 4
d : 90.0000, 2 -> 1
d : 799.0000, 3 -> 7
d : -968.0000, 3 -> 3
a : -348.0000, 4 -> 7
d : -559.0000, 4 -> 0
d : -418.0000, 5 -> 7
b : -508.0000, 5 -> 2
d : -404.0000, 6 -> 1
d : -99.0000, 6 -> 2
c : 382.0000, 7 -> 0
a : -99.0000, 7 -> 4
