a : 317.0000, 0 -> 1
b : -332.0000, 0 -> 0
c : -711.0000, 0 -> 3
d : 72.0000, 0 -> 0
a : 69.0000, 1 -> 2
b : 925.0000, 1 -> 1
c : -601.0000, 1 -> 3
d : 423.0000, 1 -> 2
a : 521.0000, 2 -> 2
b : 227.0000, 2 -> 2
c : 576.0000, 2 -> 0
d : 799.0000, 2 -> 3
a : 497.0000, 3 -> 3
b : 881.0000, 3 -> 1
c : 646.0000, 3 -> 3
d : 85.0000, 3 -> 0
d : 813.0000, 0 -> 1
a : -406.0000, 0 -> 1
c : 534.0000, 1 -> 1
b : 978.0000, 1 -> 0
a : -399.0000, 2 -> 2
c : -219.0000, 2 -> 0
a : 876.0000, 3 -> 0
d : -286.0000, 3 -> 3
