a : 6.0000, 0 -> 0
b : -650.0000, 0 -> 1
a : -933.0000, 1 -> 5
b : 566.0000, 1 -> 6
a : -655.0000, 2 -> 1
b : -540.0000, 2 -> 4
a : -897.0000, 3 -> 1
b : 313.0000, 3 -> 7
a : 490.0000, 4 -> 5
b : 540.0000, 4 -> 4
a : 124.0000, 5 -> 3
b : 665.0000, 5 -> 1
a : -828.0000, 6 -> 3
b : -711.0000, 6 -> 2
a : -639.0000, 7 -> 4
b : -23.0000, 7 -> 2
b : 89.0000, 0 -> 3
b : -186.0000, 1 -> 2
b : 560.0000, 2 -> 4
a : -621.0000, 3 -> 3
b : -288.0000, 4 -> 3
b : 689.0000, 5 -> 2
a : 438.0000, 6 -> 3
b : 848.0000, 7 -> 1
