a : -314.0000, 0 -> 5
b : -881.0000, 0 -> 7
a : -531.0000, 1 -> 1
b : 104.0000, 1 -> 5
a : -965.0000, 2 -> 3
b : 736.0000, 2 -> 0
a : 685.0000, 3 -> 0
b : -211.0000, 3 -> 6
a : 163.0000, 4 -> 2
b : 837.0000, 4 -> 5
a : -717.0000, 5 -> 2
b : -847.0000, 5 -> 4
a : -401.0000, 6 -> 6
b : -7.0000, 6 -> 2
a : -502.0000, 7 -> 4
b : 47.0000, 7 -> 7
b : -89.0000, 0 -> 6
b : -180.0000, 1 -> 7
b : -172.0000, 2 -> 5
a : 243.0000, 3 -> 4
a : 452.0000, 4 -> 4
b : 40.0000, 5 -> 1
a : 614.0000, 6 -> 7
a : 806.0000, 7 -> 5
