a : -378.0000, 0 -> 7
b : -579.0000, 0 -> 4
a : -368.0000, 1 -> 0
b : 332.0000, 1 -> 7
a : -65.0000, 2 -> 5
b : -164.0000, 2 -> 5
a : -300.0000, 3 -> 4
b : -818.0000, 3 -> 0
a : 436.0000, 4 -> 6
b : -185.0000, 4 -> 2
a : -733.0000, 5 -> 5
b : 915.0000, 5 -> 2
a : 675.0000, 6 -> 0
b : -496.0000, 6 -> 2
a : 938.0000, 7 -> 2
b : 547.0000, 7 -> 7
a : -519.0000, 0 -> 0
b : 588.0000, 1 -> 2
b : -472.0000, 2 -> 7
b : 348.0000, 3 -> 2
b : -595.0000, 4 -> 7
a : -431.0000, 5 -> 2
b : -117.0000, 6 -> 5
b : -956.0000, 7 -> 1
b : -105.0000, 0 -> 3
