a : 366.0000, 0 -> 0
b : -433.0000, 0 -> 1
c : -510.0000, 0 -> 0
d : 546.0000, 0 -> 3
a : -400.0000, 1 -> 0
b : 351.0000, 1 -> 0
c : -266.0000, 1 -> 1
d : 420.0000, 1 -> 2
a : -189.0000, 2 -> 1
b : -955.0000, 2 -> 2
c : -431.0000, 2 -> 2
d : -888.0000, 2 -> 3
a : -741.0000, 3 -> 0
b : 505.0000, 3 -> 3
c : 700.0000, 3 -> 2
d : -545.0000, 3 -> 3
d : 45.0000, 0 -> 1
a : 767.0000, 0 -> 2
d : 633.0000, 1 -> 0
a : 100.0000, 1 -> 1
c : -876.0000, 2 -> 2
a : 909.0000, 2 -> 3
a : 867.0000, 3 -> 0
c : -899.0000, 3 -> 0
