a : 931.0000, 0 -> 3
b : -40.0000, 0 -> 1
c : -4.0000, 0 -> 2
d : 227.0000, 0 -> 3
a : 242.0000, 1 -> 2
b : -442.0000, 1 -> 3
c : 273.0000, 1 -> 0
d : 908.0000, 1 -> 2
a : -863.0000, 2 -> 3
b : 717.0000, 2 -> 1
c : 216.0000, 2 -> 2
d : 174.0000, 2 -> 2
a : -900.0000, 3 -> 1
b : -267.0000, 3 -> 1
c : -976.0000, 3 -> 1
d : -893.0000, 3 -> 2
c : 174.0000, 0 -> 1
d : 187.0000, 0 -> 1
a : -855.0000, 1 -> 0
a : 412.0000, 1 -> 0
d : -961.0000, 2 -> 1
c : -540.0000, 2 -> 3
c : -628.0000, 3 -> 2
a : -564.0000, 3 -> 3
