a : -691.0000, 0 -> 4
b : -163.0000, 0 -> 0
c : -864.0000, 0 -> 7
d : -690.0000, 0 -> 4
a : 458.0000, 1 -> 1
b : -134.0000, 1 -> 3
c : -939.0000, 1 -> 0
d : 861.0000, 1 -> 7
a : -239.0000, 2 -> 7
b : -573.0000, 2 -> 7
c : 925.0000, 2 -> 1
d : 334.0000, 2 -> 3
a : 663.0000, 3 -> 0
b : -2.0000, 3 -> 7
c : 87.0000, 3 -> 2
d : 952.0000, 3 -> 2
a : 147.0000, 4 -> 1
b : 156.0000, 4 -> 0
c : 31.0000, 4 -> 5
d : 527.0000, 4 -> 1
a : -255.0000, 5 -> 0
b : 240.0000, 5 -> 0
c : 267.0000, 5 -> 5
d : 872.0000, 5 -> 6
a : 583.0000, 6 -> 7
b : 503.0000, 6 -> 7
c : 274.0000, 6 -> 3
d : -235.0000, 6 -> 4
a : 310.0000, 7 -> 0
b : -518.0000, 7 -> 1
c : 618.0000, 7 -> 1
d : -797.0000, 7 -> 5
a : -291.0000, 0 -> 4
b : 986.0000, 0 -> 1
d : -17.0000, 1 -> 6
a : 472.0000, 1 -> 4
b : -188.0000, 2 -> 7
a : 653.0000, 2 -> 6
c : -709.0000, 3 -> 2
d : -525.0000, 3 -> 6
c : 889.0000, 4 -> 7
d : -983.0000, 4 -> 1
d : 715.0000, 5 -> 0
a : 735.0000, 5 -> 6
d : -376.0000, 6 -> 1
c : 408.0000, 6 -> 2
b : 529.0000, 7 -> 2
d : 938.0000, 7 -> 1
