a : 18.0000, 0 -> 5
b : -938.0000, 0 -> 0
c : -382.0000, 0 -> 1
d : 785.0000, 0 -> 2
a : 54.0000, 1 -> 1
b : 326.0000, 1 -> 5
c : 335.0000, 1 -> 4
d : 370.0000, 1 -> 1
a : 43.0000, 2 -> 0
b : -201.0000, 2 -> 7
c : -710.0000, 2 -> 7
d : 976.0000, 2 -> 2
a : 87.0000, 3 -> 0
b : -888.0000, 3 -> 3
c : -331.0000, 3 -> 6
d : 902.0000, 3 -> 1
a : 485.0000, 4 -> 3
b : -676.0000, 4 -> 5
c : 68.0000, 4 -> 3
d : 295.0000, 4 -> 4
a : 643.0000, 5 -> 0
b : -157.0000, 5 -> 0
c : 298.0000, 5 -> 2
d : 210.0000, 5 -> 7
a : -113.0000, 6 -> 4
b : -859.0000, 6 -> 4
c : 130.0000, 6 -> 0
d : -672.0000, 6 -> 7
a : -586.0000, 7 -> 0
b : -598.0000, 7 -> 6
c : -580.0000, 7 -> 3
d : -942.0000, 7 -> 5
d : 607.0000, 0 -> 3
b : -210.0000, 0 -> 4
d : -489.0000, 1 -> 5
c : -409.0000, 1 -> 7
a : 733.0000, 2 -> 0
d : -295.0000, 2 -> 3
a : 109.0000, 3 -> 0
b : 892.0000, 3 -> 5
d : -316.0000, 4 -> 6
b : 147.0000, 4 -> 4
b : 0.0000, 5 -> 7
c : -970.0000, 5 -> 0
b : 254.0000, 6 -> 5
a : -238.0000, 6 -> 5
d : 21.0000, 7 -> 4
a : -448.0000, 7 -> 6
