a : -834.0000, 0 -> 2
b : 618.0000, 0 -> 0
c : -840.0000, 0 -> 1
d : -206.0000, 0 -> 3
a : -637.0000, 1 -> 7
b : 172.0000, 1 -> 3
c : -246.0000, 1 -> 0
d : 736.0000, 1 -> 1
a : 296.0000, 2 -> 6
b : -730.0000, 2 -> 2
c : 395.0000, 2 -> 3
d : 511.0000, 2 -> 2
a : -492.0000, 3 -> 4
b : -722.0000, 3 -> 2
c : -943.0000, 3 -> 4
d : -866.0000, 3 -> 3
a : 650.0000, 4 -> 3
b : 822.0000, 4 -> 2
c : -808.0000, 4 -> 0
d : 270.0000, 4 -> 0
a : 598.0000, 5 -> 1
b : -415.0000, 5 -> 3
c : 266.0000, 5 -> 2
d : 419.0000, 5 -> 7
a : 166.0000, 6 -> 5
b : -871.0000, 6 -> 1
c : 686.0000, 6 -> 1
d : -616.0000, 6 -> 1
a : -400.0000, 7 -> 5
b : -767.0000, 7 -> 7
c : 320.0000, 7 -> 4
d : -135.0000, 7 -> 1
a : -175.0000, 0 -> 2
d : -794.0000, 0 -> 6
b : -176.0000, 1 -> 6
b : 400.0000, 1 -> 6
d : 374.0000, 2 -> 2
a : 927.0000, 2 -> 1
d : 659.0000, 3 -> 3
d : -400.0000, 3 -> 2
a : -73.0000, 4 -> 3
c : 722.0000, 4 -> 0
a : -686.0000, 5 -> 0
a : 895.0000, 5 -> 1
a : -508.0000, 6 -> 5
c : 998.0000, 6 -> 1
d : -128.0000, 7 -> 0
c : -661.0000, 7 -> 1
