a : -542.0000, 0 -> 3
b : 47.0000, 0 -> 6
a : 196.0000, 1 -> 3
b : 285.0000, 1 -> 1
a : 977.0000, 2 -> 5
b : -927.0000, 2 -> 5
a : -141.0000, 3 -> 3
b : 114.0000, 3 -> 3
a : 401.0000, 4 -> 2
b : -405.0000, 4 -> 7
a : -982.0000, 5 -> 4
b : -306.0000, 5 -> 0
a : 261.0000, 6 -> 5
b : 158.0000, 6 -> 1
a : -695.0000, 7 -> 6
b : 84.0000, 7 -> 4
a : -327.0000, 0 -> 4
a : 658.0000, 1 -> 2
a : -657.0000, 2 -> 3
a : -171.0000, 3 -> 2
b : 204.0000, 4 -> 5
a : -370.0000, 5 -> 7
a : 497.0000, 6 -> 0
b : 145.0000, 7 -> 5
