a : -215.0000, 0 -> 0
b : -420.0000, 0 -> 1
c : 751.0000, 0 -> 1
d : 814.0000, 0 -> 2
a : 884.0000, 1 -> 2
b : 991.0000, 1 -> 2
c : -535.0000, 1 -> 0
d : -391.0000, 1 -> 1
a : -757.0000, 2 -> 2
b : 877.0000, 2 -> 3
c : 543.0000, 2 -> 3
d : -108.0000, 2 -> 0
a : 906.0000, 3 -> 2
b : -70.0000, 3 -> 0
c : 435.0000, 3 -> 3
d : 809.0000, 3 -> 3
c : 179.0000, 0 -> 3
d : 333.0000, 0 -> 2
c : 373.0000, 1 -> 0
b : -768.0000, 1 -> 2
d : -858.0000, 2 -> 2
d : 411.0000, 2 -> 1
d : 691.0000, 3 -> 1
d : -118.0000, 3 -> 1
