a : 9.0000, 0 -> 3
b : -928.0000, 0 -> 0
c : -274.0000, 0 -> 3
d : -373.0000, 0 -> 0
a : 796.0000, 1 -> 0
b : 529.0000, 1 -> 2
c : 18.0000, 1 -> 2
d : 621.0000, 1 -> 2
a : -658.0000, 2 -> 2
b : 965.0000, 2 -> 2
c : -224.0000, 2 -> 2
d : -666.0000, 2 -> 0
a : -791.0000, 3 -> 1
b : -788.0000, 3 -> 2
c : -401.0000, 3 -> 1
d : 215.0000, 3 -> 2
a : -273.0000, 0 -> 0
b : 439.0000, 0 -> 3
c : -707.0000, 1 -> 1
c : -485.0000, 1 -> 3
b : -397.0000, 2 -> 2
a : 330.0000, 2 -> 0
b : 512.0000, 3 -> 1
b : -15.0000, 3 -> 1
