a : -823.0000, 0 -> 1
b : 857.0000, 0 -> 0
a : 957.0000, 1 -> 5
b : 298.0000, 1 -> 6
a : -905.0000, 2 -> 1
b : -430.0000, 2 -> 5
a : -817.0000, 3 -> 3
b : -899.0000, 3 -> 4
a : -554.0000, 4 -> 1
b : -970.0000, 4 -> 1
a : 23.0000, 5 -> 6
b : -326.0000, 5 -> 3
a : -789.0000, 6 -> 5
b : -798.0000, 6 -> 6
a : -470.0000, 7 -> 4
b : -66.0000, 7 -> 5
a : 829.0000, 0 -> 7
a : 310.0000, 1 -> 4
a : -393.0000, 2 -> 1
a : -558.0000, 3 -> 0
a : -2.0000, 4 -> 4
a : 47.0000, 5 -> 3
b : 682.0000, 6 -> 1
a : -757.0000, 7 -> 5
b : -147.0000, 7 -> 2
