a : -474.0000, 0 -> 3
b : -782.0000, 0 -> 0
c : 890.0000, 0 -> 1
d : 184.0000, 0 -> 0
a : 228.0000, 1 -> 2
b : 451.0000, 1 -> 2
c : -551.0000, 1 -> 2
d : -483.0000, 1 -> 0
a : 576.0000, 2 -> 2
b : 775.0000, 2 -> 3
c : -162.0000, 2 -> 1
d : -338.0000, 2 -> 0
a : 837.0000, 3 -> 2
b : 480.0000, 3 -> 0
c : -961.0000, 3 -> 3
d : 735.0000, 3 -> 2
d : -694.0000, 0 -> 0
d : 263.0000, 0 -> 3
a : -589.0000, 1 -> 2
c : 818.0000, 1 -> 1
a : -959.0000, 2 -> 1
a : 733.0000, 2 -> 0
c : 429.0000, 3 -> 0
d : 670.0000, 3 -> 3
