a : 874.0000, 0 -> 1
b : 807.0000, 0 -> 2
a : -947.0000, 1 -> 0
b : -772.0000, 1 -> 5
a : 290.0000, 2 -> 0
b : -95.0000, 2 -> 7
a : 541.0000, 3 -> 5
b : -114.0000, 3 -> 1
a : 112.0000, 4 -> 7
b : -24.0000, 4 -> 3
a : -720.0000, 5 -> 1
b : 108.0000, 5 -> 7
a : -41.0000, 6 -> 4
b : -872.0000, 6 -> 5
a : 908.0000, 7 -> 4
b : -809.0000, 7 -> 2
a : -209.0000, 0 -> 5
b : 230.0000, 1 -> 0
a : -651.0000, 2 -> 1
b : 533.0000, 3 -> 3
b : 753.0000, 4 -> 6
a : -482.0000, 5 -> 6
a : -831.0000, 6 -> 6
b : 775.0000, 7 -> 6
