a : -430.0000, 0 -> 4
b : -898.0000, 0 -> 2
a : -461.0000, 1 -> 7
b : 229.0000, 1 -> 3
a : 946.0000, 2 -> 7
b : -603.0000, 2 -> 2
a : -788.0000, 3 -> 0
b : -8.0000, 3 -> 0
a : 11.0000, 4 -> 3
b : -553.0000, 4 -> 6
a : 360.0000, 5 -> 7
b : -442.0000, 5 -> 5
a : -806.0000, 6 -> 0
b : 979.0000, 6 -> 4
a : 717.0000, 7 -> 4
b : -555.0000, 7 -> 4
b : 358.0000, 0 -> 0
a : 403.0000, 1 -> 7
a : -795.0000, 2 -> 5
a : 763.0000, 3 -> 4
a : -137.0000, 4 -> 7
b : 486.0000, 5 -> 2
a : -208.0000, 6 -> 5
a : -912.0000, 7 -> 1
