a : 633.0000, 0 -> 3
b : 827.0000, 0 -> 0
a : -34.0000, 1 -> 3
b : 873.0000, 1 -> 1
a : -518.0000, 2 -> 4
b : 746.0000, 2 -> 2
a : 665.0000, 3 -> 7
b : -86.0000, 3 -> 1
a : -230.0000, 4 -> 6
b : 469.0000, 4 -> 1
a : -479.0000, 5 -> 2
b : -332.0000, 5 -> 3
a : 216.0000, 6 -> 3
b : -411.0000, 6 -> 0
a : -536.0000, 7 -> 0
b : -364.0000, 7 -> 5
a : 160.0000, 0 -> 1
a : 16.0000, 1 -> 3
b : 448.0000, 2 -> 1
a : -696.0000, 3 -> 6
b : -144.0000, 4 -> 4
a : 888.0000, 5 -> 1
a : -441.0000, 6 -> 3
b : 833.0000, 7 -> 4
