a : -504.0000, 0 -> 0
b : 9.0000, 0 -> 1
c : 903.0000, 0 -> 3
d : -749.0000, 0 -> 0
a : -261.0000, 1 -> 2
b : -837.0000, 1 -> 0
c : 520.0000, 1 -> 1
d : 614.0000, 1 -> 2
a : -511.0000, 2 -> 3
b : 835.0000, 2 -> 3
c : 829.0000, 2 -> 1
d : -191.0000, 2 -> 0
a : 717.0000, 3 -> 1
b : 361.0000, 3 -> 1
c : -409.0000, 3 -> 0
d : 640.0000, 3 -> 2
d : -530.0000, 0 -> 1
a : 437.0000, 0 -> 2
c : -978.0000, 1 -> 1
d : -621.0000, 1 -> 1
d : -314.0000, 2 -> 1
a : -363.0000, 2 -> 3
b : 825.0000, 3 -> 3
d : -579.0000, 3 -> 1
