a : -177.0000, 0 -> 5
b : 142.0000, 0 -> 2
c : -938.0000, 0 -> 1
d : 506.0000, 0 -> 7
a : 16.0000, 1 -> 2
b : 673.0000, 1 -> 1
c : -489.0000, 1 -> 7
d : -886.0000, 1 -> 2
a : 948.0000, 2 -> 1
b : -954.0000, 2 -> 4
c : 580.0000, 2 -> 6
d : 19.0000, 2 -> 5
a : -435.0000, 3 -> 4
b : 767.0000, 3 -> 3
c : -583.0000, 3 -> 1
d : 682.0000, 3 -> 4
a : -753.0000, 4 -> 7
b : 499.0000, 4 -> 1
c : -812.0000, 4 -> 7
d : 179.0000, 4 -> 0
a : 499.0000, 5 -> 5
b : -406.0000, 5 -> 3
c : 29.0000, 5 -> 4
d : -395.0000, 5 -> 2
a : -408.0000, 6 -> 1
b : -370.0000, 6 -> 4
c : 51.0000, 6 -> 0
d : -337.0000, 6 -> 7
a : 414.0000, 7 -> 6
b : 410.0000, 7 -> 7
c : 118.0000, 7 -> 4
d : -584.0000, 7 -> 1
a : 162.0000, 0 -> 5
b : 782.0000, 0 -> 7
c : 458.0000, 1 -> 7
d : 421.0000, 1 -> 0
c : 602.0000, 2 -> 7
b : -289.0000, 2 -> 4
c : 723.0000, 3 -> 2
c : 589.0000, 3 -> 6
a : 308.0000, 4 -> 5
a : 297.0000, 4 -> 2
b : 545.0000, 5 -> 2
b : 681.0000, 5 -> 1
d : -648.0000, 6 -> 2
d : -425.0000, 6 -> 4
a : -965.0000, 7 -> 0
a : 806.0000, 7 -> 0
