a : -186.0000, 0 -> 0
b : 537.0000, 0 -> 1
c : 516.0000, 0 -> 1
d : 897.0000, 0 -> 0
a : 90.0000, 1 -> 1
b : -566.0000, 1 -> 0
c : 770.0000, 1 -> 2
d : -555.0000, 1 -> 3
a : 207.0000, 2 -> 3
b : -547.0000, 2 -> 1
c : -7.0000, 2 -> 1
d : -959.0000, 2 -> 0
a : 104.0000, 3 -> 1
b : -586.0000, 3 -> 0
c : 358.0000, 3 -> 1
d : -463.0000, 3 -> 2
b : 162.0000, 0 -> 0
b : 645.0000, 0 -> 0
d : 552.0000, 1 -> 1
d : 133.0000, 1 -> 1
b : -761.0000, 2 -> 1
c : 46.0000, 2 -> 3
d : 629.0000, 3 -> 2
a : 891.0000, 3 -> 0
