a : -215.0000, 0 -> 1
b : -410.0000, 0 -> 2
c : -925.0000, 0 -> 0
d : -848.0000, 0 -> 2
a : -406.0000, 1 -> 2
b : -872.0000, 1 -> 2
c : -95.0000, 1 -> 0
d : -961.0000, 1 -> 1
a : -528.0000, 2 -> 0
b : 964.0000, 2 -> 0
c : -778.0000, 2 -> 2
d : 552.0000, 2 -> 3
a : 836.0000, 3 -> 0
b : 806.0000, 3 -> 2
c : 956.0000, 3 -> 1
d : -285.0000, 3 -> 3
b : -75.0000, 0 -> 3
c : 790.0000, 0 -> 0
c : -898.0000, 1 -> 2
b : -475.0000, 1 -> 1
c : -178.0000, 2 -> 2
c : -707.0000, 2 -> 0
b : -361.0000, 3 -> 2
b : 414.0000, 3 -> 2
