a : 694.0000, 0 -> 2
b : -989.0000, 0 -> 2
c : 84.0000, 0 -> 0
d : -922.0000, 0 -> 1
a : -212.0000, 1 -> 3
b : 286.0000, 1 -> 2
c : -777.0000, 1 -> 2
d : 865.0000, 1 -> 2
a : -405.0000, 2 -> 3
b : -447.0000, 2 -> 0
c : 429.0000, 2 -> 0
d : 831.0000, 2 -> 3
a : 896.0000, 3 -> 2
b : -407.0000, 3 -> 2
c : -999.0000, 3 -> 2
d : -669.0000, 3 -> 1
c : 636.0000, 0 -> 1
d : 556.0000, 0 -> 1
c : -628.0000, 1 -> 0
d : 189.0000, 1 -> 2
d : 649.0000, 2 -> 2
c : -771.0000, 2 -> 0
a : 830.0000, 3 -> 1
d : 17.0000, 3 -> 1
