a : -38.0000, 0 -> 5
b : -621.0000, 0 -> 5
a : -86.0000, 1 -> 1
b : 884.0000, 1 -> 7
a : -228.0000, 2 -> 5
b : -1000.0000, 2 -> 5
a : -213.0000, 3 -> 5
b : 444.0000, 3 -> 3
a : -380.0000, 4 -> 2
b : -949.0000, 4 -> 6
a : -799.0000, 5 -> 0
b : 170.0000, 5 -> 5
a : 850.0000, 6 -> 7
b : 811.0000, 6 -> 7
a : 669.0000, 7 -> 5
b : 288.0000, 7 -> 2
b : 190.0000, 0 -> 5
a : 374.0000, 1 -> 6
a : -832.0000, 2 -> 0
b : -801.0000, 3 -> 7
b : 564.0000, 4 -> 5
b : -708.0000, 5 -> 5
b : 623.0000, 6 -> 0
a : 755.0000, 7 -> 2
a : 141.0000, 0 -> 3
a : -16.0000, 3 -> 6
b : 835.0000, 0 -> 1
b : 223.0000, 6 -> 4
