a : 341.0000, 0 -> 7
b : -370.0000, 0 -> 7
a : 738.0000, 1 -> 3
b : 80.0000, 1 -> 0
a : -156.0000, 2 -> 1
b : 231.0000, 2 -> 5
a : -953.0000, 3 -> 3
b : -73.0000, 3 -> 6
a : -982.0000, 4 -> 3
b : -941.0000, 4 -> 5
a : -151.0000, 5 -> 5
b : 943.0000, 5 -> 1
a : 428.0000, 6 -> 2
b : 277.0000, 6 -> 3
a : -399.0000, 7 -> 1
b : 647.0000, 7 -> 4
b : 239.0000, 0 -> 4
b : 835.0000, 1 -> 6
b : 452.0000, 2 -> 4
b : -117.0000, 3 -> 3
b : 824.0000, 4 -> 2
a : -605.0000, 5 -> 5
a : -76.0000, 6 -> 3
b : -204.0000, 7 -> 5
