a : -143.0000, 0 -> 4
b : -344.0000, 0 -> 6
a : -186.0000, 1 -> 5
b : 801.0000, 1 -> 4
a : 174.0000, 2 -> 7
b : -564.0000, 2 -> 3
a : -776.0000, 3 -> 1
b : 794.0000, 3 -> 7
a : 462.0000, 4 -> 1
b : 433.0000, 4 -> 0
a : -22.0000, 5 -> 0
b : -708.0000, 5 -> 2
a : -953.0000, 6 -> 6
b : -987.0000, 6 -> 6
a : -60.0000, 7 -> 4
b : 734.0000, 7 -> 7
a : 244.0000, 0 -> 5
a : 464.0000, 1 -> 3
b : -764.0000, 2 -> 0
a : -383.0000, 3 -> 2
b : -107.0000, 4 -> 1
b : 830.0000, 5 -> 1
a : 906.0000, 6 -> 2
b : -107.0000, 7 -> 5
