a : -333.0000, 0 -> 3
b : 816.0000, 0 -> 6
a : -660.0000, 1 -> 5
b : 191.0000, 1 -> 0
a : 919.0000, 2 -> 2
b : -295.0000, 2 -> 4
a : 193.0000, 3 -> 4
b : 726.0000, 3 -> 7
a : 929.0000, 4 -> 0
b : -385.0000, 4 -> 2
a : -949.0000, 5 -> 7
b : 498.0000, 5 -> 6
a : 157.0000, 6 -> 7
b : 984.0000, 6 -> 6
a : -26.0000, 7 -> 3
b : -855.0000, 7 -> 0
b : -966.0000, 0 -> 2
a : 432.0000, 1 -> 6
a : -864.0000, 2 -> 3
b : 314.0000, 3 -> 3
a : -545.0000, 4 -> 7
a : 988.0000, 5 -> 1
b : -251.0000, 6 -> 6
b : -216.0000, 7 -> 4
a : 357.0000, 3 -> 1
