a : 893.0000, 0 -> 2
b : -49.0000, 0 -> 0
c : -39.0000, 0 -> 7
d : 730.0000, 0 -> 4
a : -831.0000, 1 -> 5
b : -730.0000, 1 -> 4
c : -939.0000, 1 -> 3
d : -420.0000, 1 -> 5
a : -217.0000, 2 -> 6
b : 938.0000, 2 -> 6
c : 51.0000, 2 -> 7
d : -428.0000, 2 -> 4
a : 23.0000, 3 -> 4
b : -11.0000, 3 -> 6
c : -195.0000, 3 -> 7
d : 462.0000, 3 -> 0
a : 762.0000, 4 -> 0
b : -80.0000, 4 -> 0
c : 569.0000, 4 -> 5
d : -432.0000, 4 -> 0
a : 230.0000, 5 -> 5
b : -309.0000, 5 -> 1
c : 713.0000, 5 -> 5
d : -1.0000, 5 -> 4
a : -746.0000, 6 -> 5
b : 473.0000, 6 -> 6
c : 626.0000, 6 -> 5
d : 573.0000, 6 -> 4
a : 438.0000, 7 -> 6
b : 519.0000, 7 -> 0
c : -825.0000, 7 -> 1
d : -841.0000, 7 -> 0
c : 324.0000, 0 -> 7
a : -558.0000, 0 -> 5
d : -541.0000, 1 -> 6
c : 818.0000, 1 -> 3
b : -328.0000, 2 -> 1
c : 616.0000, 2 -> 3
d : 773.0000, 3 -> 2
b : -468.0000, 3 -> 4
a : -628.0000, 4 -> 4
d : -901.0000, 4 -> 2
b : 585.0000, 5 -> 4
a : 77.0000, 5 -> 5
d : 874.0000, 6 -> 1
d : -61.0000, 6 -> 7
c : 184.0000, 7 -> 4
a : -5.0000, 7 -> 6
